,Body type,Kilometers driven,Transmission type,Number of Owners,Car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of doors,Cargo Volumn,City
1314,Sedan,71423,Manual,1,Maruti Swift Dzire,2016,573000.0,Petrol,Comprehensive,5.0,1197.0,22.41,Red,No,No,Electric,170.0,4,378,bangalore
1315,Sedan,17811,Manual,1,Maruti Swift Dzire,2015,658000.0,Petrol,Comprehensive,5.0,1197.0,22.41,Silver,No,No,Electric,170.0,4,378,bangalore
1316,SUV,79000,Automatic,1,Hyundai Creta,2017,1245000.0,Diesel,Comprehensive,5.0,1582.0,17.6,White,Yes,No,Power,170.0,5,400,bangalore
1317,Hatchback,9724,Automatic,1,Maruti Baleno,2020,906000.0,Petrol,Zero Dep,5.0,1197.0,21.4,Silver,No,No,Power,180.0,5,339,bangalore
1318,SUV,75000,Manual,1,Hyundai Creta,2019,1195000.0,Petrol,Comprehensive,5.0,1591.0,15.8,White,No,No,Power,170.0,5,400,bangalore
1319,Sedan,20754,Manual,1,Toyota Yaris,2021,1031000.0,Petrol,Comprehensive,5.0,1496.0,17.1,White,No,No,Power,170.0,4,476,bangalore
1320,Hatchback,50510,Manual,3,Hyundai Grand i10,2015,413000.0,Petrol,Comprehensive,5.0,1197.0,18.9,Red,No,No,Power,165.0,5,256,bangalore
1321,Hatchback,35000,Manual,1,Hyundai Grand i10,2019,624000.0,Petrol,Comprehensive,5.0,1197.0,18.9,White,No,No,Power,165.0,5,256,bangalore
1322,Sedan,85000,Manual,3,Hyundai Verna,2011,465000.00000000006,Diesel,Comprehensive,5.0,1582.0,22.32,Silver,Yes,No,Power,190.0,4,465,bangalore
1323,Sedan,48979,Automatic,1,Honda City,2018,1050000.0,Petrol,Third Party insurance,5.0,1497.0,18.0,White,No,No,Power,195.0,4,510,bangalore
1324,SUV,46000,Manual,2,Tata Nexon,2017,725000.0,Petrol,Comprehensive,5.0,1198.0,17.0,Red,Yes,No,Power,154.19,5,350,bangalore
1325,SUV,9000,Automatic,1,Mahindra Thar,2020,1800000.0,Diesel,Comprehensive,4.0,2184.0,19.255853130413264,Red,Yes,No,Power,170.0,3,9544,bangalore
1326,Sedan,70000,Manual,2,Ford Aspire,2018,650000.0,Diesel,Third Party insurance,5.0,1498.0,26.1,Maroon,Yes,No,Power,170.0,4,359,bangalore
1327,Sedan,78000,Automatic,2,Volvo S60,2014,1395000.0,Diesel,Third Party insurance,5.0,1969.0,27.03,Red,Yes,No,Power,215.0,4,380,bangalore
1328,Sedan,1500,Manual,1,Honda Amaze,2021,865000.0,Diesel,Comprehensive,5.0,1498.0,24.7,Golden Brown,Yes,No,Electric,170.0,4,420,bangalore
1329,Sedan,70000,Automatic,2,BMW 5 Series,2011,1423000.0,Diesel,Comprehensive,5.0,1995.0,18.48,Golden,No,Yes,Power,226.0,4,520,bangalore
1330,SUV,8187,Automatic,1,MG Gloster,2023,4399000.0,Diesel,Comprehensive,6.0,1996.0,13.92,Black,Yes,No,Electric,170.0,5,9544,bangalore
